run,ber,timelimit,repetition,Module,throughput:last
Thousand_Runs-917-20200611-02:22:53-45640,1e-7,10,917,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1627-20200611-02:25:05-46007,1e-7,100,627,Exercise6.client.pppg$o[0].channel,751532.71515617
Thousand_Runs-1465-20200611-02:24:32-45967,1e-7,100,465,Exercise6.client.pppg$o[0].channel,694887.19766545
Thousand_Runs-1740-20200611-02:25:27-46036,1e-7,100,740,Exercise6.client.pppg$o[0].channel,702045.69143433
Thousand_Runs-1643-20200611-02:25:08-46011,1e-7,100,643,Exercise6.client.pppg$o[0].channel,682445.24920849
Thousand_Runs-1368-20200611-02:24:13-45943,1e-7,100,368,Exercise6.client.pppg$o[0].channel,592432.31143361
Thousand_Runs-933-20200611-02:22:54-45644,1e-7,10,933,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2232-20200611-02:32:36-46164,1e-7,1000,232,Exercise6.client.pppg$o[0].channel,754452.70076292
Thousand_Runs-120-20200611-02:22:12-45353,1e-7,10,120,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1661-20200611-02:25:11-46016,1e-7,100,661,Exercise6.client.pppg$o[0].channel,704292.87189343
Thousand_Runs-676-20200611-02:22:40-45569,1e-7,10,676,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1386-20200611-02:24:17-45947,1e-7,100,386,Exercise6.client.pppg$o[0].channel,654165.12830589
Thousand_Runs-951-20200611-02:22:55-45649,1e-7,10,951,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1404-20200611-02:24:19-45952,1e-7,100,404,Exercise6.client.pppg$o[0].channel,714335.66929543
Thousand_Runs-2980-20200611-02:53:31-46370,1e-7,1000,980,Exercise6.client.pppg$o[0].channel,788823.21341645
Thousand_Runs-1129-20200611-02:23:24-45791,1e-7,100,129,Exercise6.client.pppg$o[0].channel,715371.51755794
Thousand_Runs-2137-20200611-02:30:03-46137,1e-7,1000,137,Exercise6.client.pppg$o[0].channel,769483.46832627
Thousand_Runs-1501-20200611-02:24:39-45976,1e-7,100,501,Exercise6.client.pppg$o[0].channel,746874.65021309
Thousand_Runs-2412-20200611-02:37:30-46211,1e-7,1000,412,Exercise6.client.pppg$o[0].channel,772124.50350451
Thousand_Runs-2315-20200611-02:35:08-46184,1e-7,1000,315,Exercise6.client.pppg$o[0].channel,789565.34440462
Thousand_Runs-2806-20200611-02:48:42-46317,1e-7,1000,806,Exercise6.client.pppg$o[0].channel,787444.77229809
Thousand_Runs-2250-20200611-02:33:15-46168,1e-7,1000,250,Exercise6.client.pppg$o[0].channel,791542.00184488
