run,ber,timelimit,repetition,Module,throughput:last
Hundred_Runs-154-20200611-02:16:20-44344,1e-7,100,54,Exercise6.client.pppg$o[0].channel,660564.17619061
Hundred_Runs-201-20200611-02:16:36-44451,1e-7,1000,1,Exercise6.client.pppg$o[0].channel,807279.04049636
Hundred_Runs-53-20200611-02:16:07-44319,1e-7,10,53,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-96-20200611-02:16:10-44330,1e-7,10,96,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-9-20200611-02:16:05-44307,1e-7,10,9,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-126-20200611-02:16:14-44337,1e-7,100,26,Exercise6.client.pppg$o[0].channel,684247.81581675
Hundred_Runs-210-20200611-02:16:42-44454,1e-7,1000,10,Exercise6.client.pppg$o[0].channel,789391.5541121
Hundred_Runs-10-20200611-02:16:05-44307,1e-7,10,10,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-160-20200611-02:16:20-44346,1e-7,100,60,Exercise6.client.pppg$o[0].channel,666168.23090853
Hundred_Runs-0-20200611-02:16:05-44309,1e-7,10,0,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-284-20200611-02:18:55-44954,1e-7,1000,84,Exercise6.client.pppg$o[0].channel,766844.55271779
Hundred_Runs-241-20200611-02:17:31-44562,1e-7,1000,41,Exercise6.client.pppg$o[0].channel,773544.94082391
Hundred_Runs-142-20200611-02:16:17-44341,1e-7,100,42,Exercise6.client.pppg$o[0].channel,714208.2500694
Hundred_Runs-19-20200611-02:16:06-44313,1e-7,10,19,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-107-20200611-02:16:11-44331,1e-7,100,7,Exercise6.client.pppg$o[0].channel,707767.46001255
Hundred_Runs-131-20200611-02:16:15-44338,1e-7,100,31,Exercise6.client.pppg$o[0].channel,633652.32270537
Hundred_Runs-174-20200611-02:16:24-44348,1e-7,100,74,Exercise6.client.pppg$o[0].channel,767573.75401424
Hundred_Runs-37-20200611-02:16:06-44317,1e-7,10,37,Exercise6.client.pppg$o[0].channel,176122.50988647
