Q1,0.071123577,,,Condition,Group,Color
Q3,0.130871762,,,Y <= 0.15,A,Blue
IQR,0.059748184,,,Y > 0.15,B,Red
Lower Bound,-0.018498699,,,,,
Upper Bound,0.220494038,,,,,
,,,,,,
Time,E2E Delay,OUTLIER?,,Group,A,B
6.142334627,0.06,No,No,A,0.062334627,#N/A
6.182372695,0.06,No,No,A,0.062372695,#N/A
6.222334627,0.06,No,No,A,0.062334627,#N/A
6.262334627,0.06,No,No,A,0.062334627,#N/A
6.302619666,0.06,No,No,A,0.062619666,#N/A
6.342334627,0.06,No,No,A,0.062334627,#N/A
6.382334627,0.06,No,No,A,0.062334627,#N/A
6.422444702,0.06,No,No,A,0.062444702,#N/A
6.462334627,0.06,No,No,A,0.062334627,#N/A
6.502334627,0.06,No,No,A,0.062334627,#N/A
6.542516442,0.06,No,No,A,0.062516442,#N/A
6.582334627,0.06,No,No,A,0.062334627,#N/A
6.622334627,0.06,No,No,A,0.062334627,#N/A
6.662334627,0.06,No,No,A,0.062334627,#N/A
6.702334627,0.06,No,No,A,0.062334627,#N/A
6.742334627,0.06,No,No,A,0.062334627,#N/A
6.7828899,0.06,No,No,A,0.0628899,#N/A
6.822334627,0.06,No,No,A,0.062334627,#N/A
6.862832763,0.06,No,No,A,0.062832763,#N/A
6.902334627,0.06,No,No,A,0.062334627,#N/A
6.942334627,0.06,No,No,A,0.062334627,#N/A
6.982636575,0.06,No,No,A,0.062636575,#N/A
7.022334627,0.06,No,No,A,0.062334627,#N/A
7.062334627,0.06,No,No,A,0.062334627,#N/A
7.103900986,0.06,No,No,A,0.063900986,#N/A
7.142334627,0.06,No,No,A,0.062334627,#N/A
7.182334627,0.06,No,No,A,0.062334627,#N/A
7.222334627,0.06,No,No,A,0.062334627,#N/A
7.262334627,0.06,No,No,A,0.062334627,#N/A
7.302334627,0.06,No,No,A,0.062334627,#N/A
7.342448274,0.06,No,No,A,0.062448274,#N/A
7.382334627,0.06,No,No,A,0.062334627,#N/A
7.422334627,0.06,No,No,A,0.062334627,#N/A
7.462414447,0.06,No,No,A,0.062414447,#N/A
7.502334627,0.06,No,No,A,0.062334627,#N/A
7.542334627,0.06,No,No,A,0.062334627,#N/A
7.583183041,0.06,No,No,A,0.063183041,#N/A
7.622334627,0.06,No,No,A,0.062334627,#N/A
7.662334627,0.06,No,No,A,0.062334627,#N/A
7.703092772,0.06,No,No,A,0.063092772,#N/A
7.742334627,0.06,No,No,A,0.062334627,#N/A
7.782334627,0.06,No,No,A,0.062334627,#N/A
7.822474938,0.06,No,No,A,0.062474938,#N/A
7.862334627,0.06,No,No,A,0.062334627,#N/A
7.902334627,0.06,No,No,A,0.062334627,#N/A
7.943083662,0.06,No,No,A,0.063083662,#N/A
7.982334627,0.06,No,No,A,0.062334627,#N/A
8.022334627,0.06,No,No,A,0.062334627,#N/A
8.062723261,0.06,No,No,A,0.062723261,#N/A
8.105326476,0.07,No,No,A,0.065326476,#N/A
8.142334627,0.06,No,No,A,0.062334627,#N/A
8.182334627,0.06,No,No,A,0.062334627,#N/A
8.222334627,0.06,No,No,A,0.062334627,#N/A
8.262334627,0.06,No,No,A,0.062334627,#N/A
8.302334627,0.06,No,No,A,0.062334627,#N/A
8.342334627,0.06,No,No,A,0.062334627,#N/A
8.382334627,0.06,No,No,A,0.062334627,#N/A
8.422334627,0.06,No,No,A,0.062334627,#N/A
8.462334627,0.06,No,No,A,0.062334627,#N/A
8.502334627,0.06,No,No,A,0.062334627,#N/A
8.542334627,0.06,No,No,A,0.062334627,#N/A
8.582334627,0.06,No,No,A,0.062334627,#N/A
8.622334627,0.06,No,No,A,0.062334627,#N/A
8.662334627,0.06,No,No,A,0.062334627,#N/A
