run,time,repetition,Module,packetDropQueueOverflow:count,Average
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[2].ppp[23].ppp.queue,435,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[2].ppp[24].ppp.queue,398,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[2].ppp[25].ppp.queue,457,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[1].ppp.queue,514,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[2].ppp.queue,385,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[3].ppp.queue,394,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[4].ppp.queue,370,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[5].ppp.queue,409,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[6].ppp.queue,343,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[7].ppp.queue,475,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[8].ppp.queue,411,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[9].ppp.queue,396,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[10].ppp.queue,390,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[11].ppp.queue,443,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[12].ppp.queue,419,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[13].ppp.queue,307,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[14].ppp.queue,374,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[15].ppp.queue,282,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[16].ppp.queue,299,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[17].ppp.queue,365,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[18].ppp.queue,342,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[19].ppp.queue,482,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[20].ppp.queue,386,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[21].ppp.queue,444,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[22].ppp.queue,441,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[23].ppp.queue,427,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[24].ppp.queue,435,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[3].ppp[25].ppp.queue,433,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[1].ppp.queue,431,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[2].ppp.queue,403,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[3].ppp.queue,452,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[4].ppp.queue,429,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[5].ppp.queue,426,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[6].ppp.queue,208,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[7].ppp.queue,391,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[8].ppp.queue,555,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[9].ppp.queue,330,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[10].ppp.queue,204,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[11].ppp.queue,457,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[12].ppp.queue,380,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[13].ppp.queue,442,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[14].ppp.queue,383,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[15].ppp.queue,333,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[16].ppp.queue,377,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[17].ppp.queue,511,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[18].ppp.queue,380,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[19].ppp.queue,459,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[20].ppp.queue,412,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[21].ppp.queue,431,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[22].ppp.queue,268,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[23].ppp.queue,340,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[24].ppp.queue,305,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[4].ppp[25].ppp.queue,350,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[5].ppp[1].ppp.queue,447,369.9216
NO_VOIP_ISDN_rpt03_scenario_01-0-20200702-14:34:26-11980,1000,0,Exercise7.accessRouter[5].ppp[2].ppp.queue,289,369.9216
