"throughput:vector Exercise4.client.pppg$o[0].channel ($ber=1e-7, $timelimit=20, #0 - Much_Higher_DataRate-0-20200525-21:25:38-6660)",
16.20547184,220900.6954776800116
16.20553212,221643.8172719500137
16.2055924,222386.9335378299578
16.20565268,223130.0442753899838
16.20571296,223873.1494846899871
16.20577324,224616.2491657799683
16.20583352,225359.3433187399633
16.2058938,226102.4319436199721
16.60429732,221403.40715122997
16.60520152,222117.388672319997
16.60541344,222840.5822818200097
16.60547372,223565.7990008899938
16.605534,224291.0104547099902
16.60559428,225016.2166433499652
16.60565456,225741.4175668599776
16.60571484,226466.6132253099926
16.60577512,227191.8036187399985
16.6058354,227916.9887472199618
16.60589568,228642.1686108100106
16.60595596,229367.3432095499585
16.60601624,230092.5125435100047
17.00435948,225411.3719783599946
17.00526368,226108.3434138199657
17.0054756,226814.4738039599608
17.00553588,227522.6154178699937
17.00559616,228230.7520114599608
17.00565644,228938.8835847799776
17.00571672,229647.0101378899993
17.005777,230355.1316708399676
17.00583728,231063.2481836799992
17.00589756,231771.3596764699897
17.00595784,232479.4661492599982
17.00601812,233187.5676020999665
17.0060784,233895.6640350400115
17.00613868,234603.7554481499822
17.40442164,229927.7782838199632
17.40532584,230608.4951754100032
17.40553776,231298.3405345799977
17.40559804,231990.1902089400092
17.40565832,232682.0350912199932
17.4057186,233373.875181459996
17.40577888,234065.7104797099592
17.40583916,234757.5409860300127
17.40589944,235449.3667004699812
17.40595972,236141.1876230599585
17.40602,236833.0037538699682
17.40608028,237524.815092950011
17.40614056,238216.6216403300052
17.40620084,238908.423396079975
17.8044838,234241.2196190700042
17.80454408,234917.557068949972
17.805388,235583.5211229299887
17.80559992,236257.807594279991
17.8056602,236934.0958219600135
17.80572048,237610.3794705899775
17.80578076,238286.6585402099875
17.80584104,238962.9330308799972
17.80590132,239639.2029426299845
17.8059616,240315.4682755199602
17.80602188,240991.7290295999837
17.80608216,241667.985204889962
17.80614244,242344.2368014699887
17.80620272,243020.483819359971
17.806263,243696.7262586199787
18.20454596,239027.3291935499865
18.20460624,239688.7876878399977
18.20466652,240350.2418016300065
18.20545016,241002.1153797199945
18.20566208,241661.5216006499825
18.20572236,242322.930821629997
18.20578264,242984.3356627000025
18.20584292,243645.736123929964
18.2059032,244307.1322053399627
18.20596348,244968.5239069800002
18.20602376,245629.9112288999597
18.20608404,246291.2941711299932
18.20614432,246952.6727337299955
18.2062046,247614.046916730003
18.20626488,248275.4167201799565
18.20632516,248936.7821441199625
18.60460812,244255.6150975800115
18.6046684,244902.833097530004
18.60472868,245550.0469034499832
18.60551232,246187.6846613999797
18.6055726,246834.8649479399892
18.60572424,247480.8258256799885
18.60578452,248127.9945512299887
18.6058448,248775.1590833399672
18.60590508,249422.319422039959
18.60596536,250069.4755673799657
18.60602564,250716.6275193800095
18.60608592,251363.7752781099982
18.6061462,252010.9188435800017
18.60620648,252658.0582158499737
18.60626676,253305.193394959962
18.60632704,253952.3243809400002
18.60638732,254599.4511738499852
19.00467028,249898.15292918001
19.00473056,250531.7286645100095
19.00479084,251165.3003806499757
19.00557448,251789.2845089099712
19.00563476,252422.824103560007
19.0057864,253055.143248369975
19.00584668,253688.671764030004
19.00590696,254322.1962610299807
19.00596724,254955.7167394100097
19.00602752,255589.2331992199752
19.0060878,256222.745640479959
19.00614808,256856.2540632399607
19.00620836,257489.758467529958
19.00626864,258123.258853400009
19.00632892,258756.7552208799745
19.0063892,259390.2475700099597
19.00644948,260023.735900830011
19.00650976,260657.2202133800012
19.40473244,255929.3211259599767
19.40479272,256549.8159054800047
19.404853,257170.3068299499565
19.40563664,257781.1845496899907
19.40569692,258401.6446650800057
19.40584856,259020.8814862599822
19.40590884,259641.3309751499902
19.40596912,260261.7766094799727
19.4060294,260882.2183892999885
19.40608968,261502.6563146300025
19.40614996,262123.090385519957
19.40621024,262743.5206019899337
19.40627052,263363.9469640899907
19.4063308,263984.3694718399777
19.40639108,264604.7881252899525
19.40645136,265225.2029244799627
19.40651164,265845.6138694299145
19.40657192,266466.0209601799717
19.4066322,267086.4241967799602
19.8047946,262325.568375249975
19.80485488,262933.509563789935
19.80491516,263541.4470515699352
19.8056988,264139.7333579600082
19.80575908,264747.6412704099197
19.80591072,265354.3214598499465
19.805971,265962.2191711799237
19.80603128,266570.1131822100135
19.80609156,267178.0034929799142
19.80615184,267785.8901035300217
19.80621212,268393.7730138800102
19.8062724,269001.6522240699262
19.80633268,269609.5277341399337
19.80639296,270217.3995441099387
19.80645324,270825.267654030001
19.80651352,271433.1320639200267
19.8065738,272040.992773819947
19.80663408,272648.8497837699242
19.80669436,273256.7030937899827
19.80675464,273864.5527039299477
