"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Much_Higher_DataRate-1-20200525-20:52:46-15688)",
15.60216684,228209.3273654499785
15.6023638,228979.1499413700071
15.60242408,229750.9657230100121
15.60252852,230522.1230898299828
15.6025888,231293.9247620200032
15.60264908,232065.7204705899925
15.60270936,232837.510215599962
15.60276964,233609.2939971099835
15.60282992,234381.0718152099865
15.6028902,235152.8436699499717
15.60295048,235924.609561409975
16.00180704,230797.4337378299672
16.00186732,231549.9763811299915
16.00210844,232299.888101499993
16.00216872,233052.4109109599952
16.002229,233804.9280509600057
16.00242596,234555.436118390003
16.00248624,235307.9354998999617
16.00259068,236059.777790930005
16.00265096,236812.263760079978
16.00271124,237564.7440602100097
16.00277152,238317.2186913799952
16.0028318,239069.6876536599585
16.00289208,239822.15094710997
16.00295236,240574.6085717899835
16.00301264,241327.0605277699642
16.00307292,242079.5068151199952
16.4018692,236928.605673799989
16.40192948,237662.7703925499802
16.4021706,238394.3013005899842
16.40223088,239128.4471420599725
16.40229116,239862.5875874299665
16.40248812,240594.7177726099607
16.4025484,241328.841315899975
16.40265284,242062.307769969978
16.40271312,242796.4185476200065
16.4027734,243530.5239295699862
16.40283368,244264.6239158799865
16.40289396,244998.7185066199737
16.40295424,245732.8077018400062
16.40301452,246466.8915015999802
16.4030748,247200.9699059599657
16.40313508,247935.042914979974
16.40319536,248669.11052871996
16.80193136,243485.341794659965
16.80199164,244202.0022335899987
16.80223276,244916.0215061799962
16.80229304,245632.6639569199752
16.80235332,246349.3012656199855
16.80255028,247063.9236795699682
16.80261056,247780.5448821900052
16.802715,248496.507856020005
16.80277528,249213.1168940999775
16.80283556,249929.720790529972
16.80289584,250646.3195453599902
16.80295612,251362.9131586399737
16.8030164,252079.5016304299925
16.80307668,252796.084960790001
16.80313696,253512.6631497699995
16.80319724,254229.2361974299992
16.80325752,254945.8041038200017
16.8033178,255662.3668689999607
17.20199352,250437.950403319962
17.2020538,251137.9193570499767
17.20229492,251835.23594653001
17.2023552,252535.1877398699862
17.20241548,253235.134627730003
17.20261244,253933.0590185599862
17.20267272,254632.990541479957
17.20277716,255332.261712559964
17.20283744,256032.1816306099637
17.20289772,256732.0966435399597
17.202958,257432.0067514000102
17.20301828,258131.9119542299877
17.20307856,258831.8122520999745
17.20313884,259531.7076450499582
17.20319912,260231.5981331299985
17.2032594,260931.4837163899785
17.20331968,261631.3643948999807
17.20337996,262331.2401686899825
17.20344024,263031.111037819995
17.60205568,257759.4391520500057
17.60211596,258443.4740878699805
17.60235708,259124.8421600600115
17.60241736,259808.8607075299945
17.60247764,260492.8745701299627
17.6026746,261174.8557801599955
17.60273488,261858.854969020001
17.60283932,262542.190835609915
17.6028996,263226.1789415599775
17.60295988,263910.162362989969
17.60302016,264594.1410999299257
17.60308044,265278.1151524399167
17.60314072,265962.08452055999
17.603201,266646.0492043499827
17.60326128,267330.00920383993
17.60332156,268013.9645190900182
17.60338184,268697.9151501499577
17.60344212,269381.8610970600267
17.6035024,270065.8023598799475
17.60356268,270749.7389386399875
18.00211784,265425.2151034700212
18.00217812,266094.0230714699712
18.00241924,266760.1468434599222
18.00247952,267428.9391442700282
18.0025398,268097.7269662800237
18.00273676,268764.469786089961
18.00279704,269433.2435800199157
18.00290148,270101.3503518899662
18.00296176,270770.1135504699775
18.00302204,271438.872270579915
18.00308232,272107.6265122599425
18.0031426,272776.3762755499915
18.00320288,273445.121560500003
18.00326316,274113.8623671599195
18.00332344,274782.5986955700202
18.00338372,275451.330545770004
18.003444,276120.057917809928
18.00350428,276788.7808117299565
18.00356456,277457.4992275899267
18.00362484,278126.2131654099785
18.00368512,278794.922625259961
18.40218,273412.823915429995
18.40224028,274067.0659257399377
18.4024814,274718.603981309919
18.40254168,275372.8309990699627
18.40260196,276027.0537308299672
18.40279892,276679.2172285499975
18.4028592,277333.4265362399157
18.40296364,277986.9644952500235
18.40302392,278641.1636637200127
18.4030842,279295.3585464799535
18.40314448,279949.549143570009
18.40320476,280603.7354550400042
18.40326504,281257.917480929987
18.40332532,281912.0952212800032
18.4033856,282566.2686761299837
18.40344588,283220.437845519976
18.40350616,283874.602729509933
18.40356644,284528.7633281199952
18.40362672,285182.9196413999882
18.403687,285837.0716693899585
18.40374728,286491.219412139965
18.40380756,287145.3628696799272
18.80224216,281701.722322669927
18.80266412,282336.5862475499737
18.8033272,282400.6593896899132
18.80338748,283040.9151362099212
18.80344776,283681.1667776799285
18.80350804,284321.4143141299712
18.80356832,284961.6577456099905
18.8036286,285601.8970721400102
18.80368888,286242.1322937799845
18.80374916,286882.3634105499357
18.80380944,287522.5904225099357
18.80386972,288162.813329680007
19.20230432,282811.474576189997
19.20333604,283424.087807609932
19.20344964,284050.2150529199272
19.20350992,284677.1253158500175
19.20363048,285303.136076589929
19.20369076,285930.0365030500097
19.20375104,286556.9329938599835
19.20381132,287183.8255490600125
19.2038716,287810.7141686999232
19.20393188,288437.5988527999717
19.60236648,283189.8896321399365
19.6033982,283789.9808615799987
19.6035118,284403.3281832699425
19.60357208,285017.44361683994
19.60369264,285630.6769763799377
19.60375292,286244.7829708699132
19.6038132,286858.8851887199552
19.60387348,287472.9836299699955
19.60393376,288087.0782946399405
19.60399404,288701.1691827699532
19.80224216,286419.686931049916
