"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Half_Delay-1-20200525-21:07:18-7344)",
9.371584,254179.4428775300032
9.38364,255137.6651278199852
9.395696,256093.428310149989
9.407752,257046.7418783999737
9.419808,257997.6152380199632
9.431864,258946.0577463799847
9.44392,259892.078713079972
9.455976,260835.6874002199612
9.468032,261776.8930227499797
9.480088,262715.7047487299415
9.51168,263110.6176826800212
9.523736,264043.4384153399142
9.559904,264305.58298493002
9.57196,265232.1990480499802
9.584016,266156.483878989936
9.596072,267078.4462642599822
9.608128,267998.0949462800047
9.620184,268915.4386236299757
9.63224,269830.4859513499532
9.644296,270743.2455411999245
9.656352,271653.7259619400132
9.668408,272561.935739579959
9.680464,273467.8833576599132
9.736168,273141.5480916099617
9.82056,271512.8261524799737
9.832616,272406.0412813799915
9.844672,273297.0687088399417
9.856728,274185.916462339926
9.868784,275072.592530139954
9.88084,275957.104861530009
9.892896,276839.461367029929
9.9486,276501.2162515299852
10.027992,275168.9470833200025
10.045048,275901.917044100002
10.057104,276769.9329747399307
10.06916,277635.8703208599467
10.081216,278499.7365397199745
10.093272,279361.5390529499845
10.105328,280221.28524674999
10.161032,279871.5721001599445
10.23696,278973.4452415599945
10.25748,279590.6986901300252
10.269536,280436.4286760400275
10.281592,281280.1752880299462
10.293648,282121.9454949300262
10.305704,282961.7462329600235
10.31776,283799.5844059200017
10.329816,284635.4668853699687
10.373464,284600.0140358100175
10.449392,283685.7876515699307
10.469912,284281.2814472599412
10.481968,285104.4765639399405
10.494024,285925.780234539997
10.50608,286745.1989704999132
10.518136,287562.7392534199162
10.530192,288378.407535210018
10.542248,289192.2102382699952
10.554304,290004.153755659935
10.585896,290277.5542098699365
10.661824,289341.1108643299657
10.682344,289913.899046879959
10.6944,290714.392579289967
10.706456,291513.0833209399125
10.718512,292309.9773550699462
10.766736,292120.4717938699752
10.874256,289716.924081980017
10.894776,290277.835909609915
10.906832,291062.335974370012
10.918888,291845.1036405899782
10.930944,292626.1446403899455
10.979168,292438.9170472699905
11.079904,290450.1699653699752
11.107208,290821.599811579915
11.119264,291590.5225381799965
11.287704,288307.3475349799257
11.29976,288418.8690733299582
11.31964,288977.3879734699142
11.331696,289733.8580208999327
11.500136,286135.7465685600175
11.50756,286703.3497978699155
11.532072,287139.3796362000275
11.544128,287883.848827729932
11.707936,284885.7390406000187
11.719992,285621.3553729399562
11.744504,286051.756634420016
11.75656,286783.8891648600102
11.920368,283854.3239604699182
11.932424,284577.886270219925
11.94448,285299.987944219959
11.956936,286011.0650420800077
11.968992,286730.244284559972
12.1328,283852.6968218400135
12.144856,284563.6045417099952
12.156912,285273.1022483300175
12.168968,285981.1941324899662
12.181024,286687.8843683400182
12.19308,287393.1771135799345
12.345232,284827.6970412499495
12.357288,285525.4324411599657
12.369344,286221.807720770011
12.3814,286916.826853179954
12.393456,287610.493796080001
12.405512,288302.812491739983
12.417568,288993.7868671199532
12.557664,286729.761203989968
12.56972,287413.8803410099345
12.581776,288096.6884166399242
12.593832,288778.189196110004
12.605888,289458.3864302099675
12.617944,290137.2838554399777
12.63,290814.885193979949
12.642056,291491.1941538599777
12.770096,289512.623867510002
12.782152,290182.7485700399837
12.794208,290851.610353689989
12.806264,291519.212785239913
12.81832,292185.5594180800245
12.830376,292850.653792219934
12.842432,293514.4994343799765
12.854488,294177.0998580399892
12.866544,294838.4585635400137
12.982528,293133.0477392399905
12.994584,293788.858496739994
13.00664,294443.4534975999257
13.018696,295096.8361193799637
13.030752,295749.0097271399565
13.042808,296399.9776735199842
13.054864,297049.743298740009
13.06692,297698.309930730028
13.078976,298345.6808851099332
13.091032,298991.8594653200115
13.19496,297550.5799183900227
13.207016,298191.8095654599592
13.219072,298831.869589639943
13.231128,299470.7631881400002
13.243184,300108.493546569952
13.25524,300745.0638388999495
13.267296,301380.477227609953
13.279352,302014.7368636699387
13.291408,302647.8458866099817
13.303464,303279.8074245899912
13.31552,303910.6245944600077
13.407392,302727.3313109700095
13.419448,303353.7594094799125
13.431504,303979.0629552699382
13.44356,304603.244973800028
13.455616,305226.3084796699687
13.467672,305848.256476689944
13.479728,306469.0919579400205
13.491784,307088.8179057699155
13.50384,307707.43729190994
13.515896,308324.9530774699515
13.527952,308941.3682130199155
13.619824,307742.5963801000025
13.63188,308354.8270671400232
13.668048,308420.924480219953
13.704216,307669.4062615499125
13.716272,308277.9344125000052
13.728328,308885.3937638999187
13.740384,309491.7871290899337
13.832256,308307.7698966800227
13.844312,308910.1141320699817
13.88048,308973.7530690599227
13.905448,308619.18292743992
13.928704,308969.448988219955
13.94076,309567.0537330799265
13.952816,310163.625751249957
14.044688,308993.1225243299257
14.056744,309585.7760516899862
14.092912,309646.7216995300252
14.108608,310156.749694939935
14.141136,310295.8630763499525
14.153192,310883.3682182800252
14.165248,311469.8733124899437
14.25712,310308.3932799899477
14.269176,310891.1124230299602
14.305344,310947.8527744599842
14.3174,311528.0707390999877
14.329456,312107.312378079979
14.353568,312422.9459880599745
14.365624,312999.9782814899217
14.37768,313576.0428664400232
14.469552,312418.2421128199192
14.481608,312990.6568386600112
14.517776,313041.3363589600187
14.529832,313611.3342535599362
14.541888,314180.3870308999892
14.553944,314748.4970396999265
14.566,315315.666620899922
14.578056,315881.8981076800257
14.590112,316447.193825519992
14.681984,315288.1790362899182
14.69404,315849.963658739928
14.730208,315892.891668599913
14.742264,316452.3440904299487
